block_index,avg_length
1.000000000000000000e+00,2.000000000000000000e+02
2.000000000000000000e+00,1.999966666666666697e+02
3.000000000000000000e+00,1.980466666666666811e+02
4.000000000000000000e+00,1.921999999999999886e+02
5.000000000000000000e+00,1.835333333333333314e+02
6.000000000000000000e+00,1.759633333333333098e+02
7.000000000000000000e+00,1.699200000000000159e+02
8.000000000000000000e+00,1.655733333333333235e+02
9.000000000000000000e+00,1.556633333333333269e+02
1.000000000000000000e+01,1.503133333333333326e+02
1.100000000000000000e+01,1.475466666666666526e+02
1.200000000000000000e+01,1.461200000000000045e+02
1.300000000000000000e+01,1.446399999999999864e+02
1.400000000000000000e+01,1.449033333333333360e+02
1.500000000000000000e+01,1.411966666666666583e+02
1.600000000000000000e+01,1.413933333333333451e+02
1.700000000000000000e+01,1.405233333333333405e+02
1.800000000000000000e+01,1.390033333333333303e+02
1.900000000000000000e+01,1.427900000000000205e+02
2.000000000000000000e+01,1.411133333333333155e+02
2.100000000000000000e+01,1.385066666666666606e+02
2.200000000000000000e+01,1.361500000000000057e+02
2.300000000000000000e+01,1.339199999999999875e+02
2.400000000000000000e+01,1.325799999999999841e+02
2.500000000000000000e+01,1.344200000000000159e+02
2.600000000000000000e+01,1.332366666666666788e+02
2.700000000000000000e+01,1.312233333333333576e+02
2.800000000000000000e+01,1.324866666666666504e+02
2.900000000000000000e+01,1.320400000000000205e+02
3.000000000000000000e+01,1.291866666666666674e+02
3.100000000000000000e+01,1.271633333333333269e+02
3.200000000000000000e+01,1.270333333333333314e+02
3.300000000000000000e+01,1.246133333333333439e+02
3.400000000000000000e+01,1.258233333333333377e+02
3.500000000000000000e+01,1.262199999999999989e+02
3.600000000000000000e+01,1.249266666666666623e+02
3.700000000000000000e+01,1.236766666666666623e+02
3.800000000000000000e+01,1.271133333333333155e+02
3.900000000000000000e+01,1.247233333333333292e+02
4.000000000000000000e+01,1.254500000000000028e+02
4.100000000000000000e+01,1.248566666666666833e+02
4.200000000000000000e+01,1.229366666666666816e+02
4.300000000000000000e+01,1.217933333333333366e+02
4.400000000000000000e+01,1.243699999999999761e+02
4.500000000000000000e+01,1.237700000000000102e+02
4.600000000000000000e+01,1.235066666666666606e+02
4.700000000000000000e+01,1.229899999999999807e+02
4.800000000000000000e+01,1.227800000000000011e+02
4.900000000000000000e+01,1.234733333333333292e+02
5.000000000000000000e+01,1.204433333333333422e+02
5.100000000000000000e+01,1.231899999999999835e+02
5.200000000000000000e+01,1.242333333333333485e+02
5.300000000000000000e+01,1.232566666666666606e+02
5.400000000000000000e+01,1.224666666666666686e+02
5.500000000000000000e+01,1.225499999999999972e+02
5.600000000000000000e+01,1.214599999999999937e+02
5.700000000000000000e+01,1.223400000000000034e+02
5.800000000000000000e+01,1.238066666666666862e+02
5.900000000000000000e+01,1.235200000000000102e+02
6.000000000000000000e+01,1.210399999999999920e+02
6.100000000000000000e+01,1.218233333333333377e+02
6.200000000000000000e+01,1.212199999999999989e+02
6.300000000000000000e+01,1.210999999999999943e+02
6.400000000000000000e+01,1.190766666666666680e+02
6.500000000000000000e+01,1.221366666666666845e+02
6.600000000000000000e+01,1.217199999999999989e+02
6.700000000000000000e+01,1.258366666666666589e+02
6.800000000000000000e+01,1.234766666666666595e+02
6.900000000000000000e+01,1.213499999999999943e+02
7.000000000000000000e+01,1.195466666666666669e+02
7.100000000000000000e+01,1.231166666666666742e+02
7.200000000000000000e+01,1.206533333333333502e+02
7.300000000000000000e+01,1.208066666666666862e+02
7.400000000000000000e+01,1.240200000000000102e+02
7.500000000000000000e+01,1.229533333333333474e+02
7.600000000000000000e+01,1.198466666666666498e+02
7.700000000000000000e+01,1.223166666666666771e+02
7.800000000000000000e+01,1.209866666666666788e+02
7.900000000000000000e+01,1.202366666666666788e+02
8.000000000000000000e+01,1.207666666666666515e+02
8.100000000000000000e+01,1.218799999999999955e+02
8.200000000000000000e+01,1.224033333333333360e+02
8.300000000000000000e+01,1.227299999999999898e+02
8.400000000000000000e+01,1.215333333333333314e+02
8.500000000000000000e+01,1.221633333333333411e+02
8.600000000000000000e+01,1.197199999999999847e+02
8.700000000000000000e+01,1.221666666666666714e+02
8.800000000000000000e+01,1.172966666666666669e+02
8.900000000000000000e+01,1.208766666666666652e+02
9.000000000000000000e+01,1.221700000000000017e+02
9.100000000000000000e+01,1.209366666666666532e+02
9.200000000000000000e+01,1.216066666666666549e+02
9.300000000000000000e+01,1.224633333333333383e+02
9.400000000000000000e+01,1.211500000000000057e+02
9.500000000000000000e+01,1.209433333333333422e+02
9.600000000000000000e+01,1.182000000000000171e+02
9.700000000000000000e+01,1.216533333333333360e+02
9.800000000000000000e+01,1.210799999999999983e+02
9.900000000000000000e+01,1.214966666666666697e+02
1.000000000000000000e+02,1.208499999999999943e+02
