block_index,avg_length
1.000000000000000000e+00,2.000000000000000000e+02
2.000000000000000000e+00,1.996599999999999966e+02
3.000000000000000000e+00,1.969833333333333201e+02
4.000000000000000000e+00,1.895033333333333587e+02
5.000000000000000000e+00,1.828033333333333417e+02
6.000000000000000000e+00,1.774000000000000057e+02
7.000000000000000000e+00,1.700233333333333405e+02
8.000000000000000000e+00,1.612933333333333223e+02
9.000000000000000000e+00,1.565766666666666822e+02
1.000000000000000000e+01,1.529266666666666765e+02
1.100000000000000000e+01,1.457800000000000011e+02
1.200000000000000000e+01,1.439133333333333553e+02
1.300000000000000000e+01,1.430233333333333405e+02
1.400000000000000000e+01,1.430499999999999829e+02
1.500000000000000000e+01,1.440366666666666617e+02
1.600000000000000000e+01,1.447366666666666788e+02
1.700000000000000000e+01,1.414866666666666504e+02
1.800000000000000000e+01,1.401200000000000045e+02
1.900000000000000000e+01,1.381799999999999784e+02
2.000000000000000000e+01,1.361866666666666674e+02
2.100000000000000000e+01,1.321566666666666663e+02
2.200000000000000000e+01,1.340699999999999932e+02
2.300000000000000000e+01,1.348599999999999852e+02
2.400000000000000000e+01,1.337266666666666595e+02
2.500000000000000000e+01,1.316666666666666856e+02
2.600000000000000000e+01,1.308766666666666652e+02
2.700000000000000000e+01,1.290466666666666526e+02
2.800000000000000000e+01,1.286466666666666470e+02
2.900000000000000000e+01,1.276966666666666725e+02
3.000000000000000000e+01,1.286833333333333371e+02
3.100000000000000000e+01,1.276266666666666652e+02
3.200000000000000000e+01,1.288266666666666822e+02
3.300000000000000000e+01,1.278399999999999892e+02
3.400000000000000000e+01,1.287599999999999909e+02
3.500000000000000000e+01,1.261700000000000017e+02
3.600000000000000000e+01,1.223499999999999943e+02
3.700000000000000000e+01,1.193933333333333451e+02
3.800000000000000000e+01,1.177000000000000028e+02
3.900000000000000000e+01,1.242466666666666697e+02
4.000000000000000000e+01,1.203333333333333286e+02
4.100000000000000000e+01,1.192899999999999920e+02
4.200000000000000000e+01,1.169699999999999989e+02
4.300000000000000000e+01,1.205200000000000102e+02
4.400000000000000000e+01,1.221500000000000199e+02
4.500000000000000000e+01,1.185833333333333286e+02
4.600000000000000000e+01,1.192266666666666595e+02
4.700000000000000000e+01,1.180999999999999943e+02
4.800000000000000000e+01,1.180566666666666862e+02
4.900000000000000000e+01,1.177399999999999807e+02
5.000000000000000000e+01,1.168299999999999983e+02
5.100000000000000000e+01,1.157566666666666606e+02
5.200000000000000000e+01,1.156733333333333320e+02
5.300000000000000000e+01,1.135999999999999943e+02
5.400000000000000000e+01,1.176333333333333258e+02
5.500000000000000000e+01,1.194433333333333422e+02
5.600000000000000000e+01,1.147866666666666617e+02
5.700000000000000000e+01,1.202199999999999989e+02
5.800000000000000000e+01,1.142400000000000091e+02
5.900000000000000000e+01,1.155000000000000000e+02
6.000000000000000000e+01,1.139599999999999937e+02
6.100000000000000000e+01,1.159166666666666572e+02
6.200000000000000000e+01,1.161699999999999875e+02
6.300000000000000000e+01,1.168933333333333167e+02
6.400000000000000000e+01,1.187766666666666708e+02
6.500000000000000000e+01,1.164366666666666532e+02
6.600000000000000000e+01,1.159233333333333320e+02
6.700000000000000000e+01,1.151766666666666907e+02
6.800000000000000000e+01,1.192233333333333292e+02
6.900000000000000000e+01,1.158566666666666549e+02
7.000000000000000000e+01,1.152733333333333547e+02
7.100000000000000000e+01,1.162533333333333303e+02
7.200000000000000000e+01,1.168733333333333348e+02
7.300000000000000000e+01,1.178933333333333167e+02
7.400000000000000000e+01,1.219266666666666623e+02
7.500000000000000000e+01,1.185066666666666890e+02
7.600000000000000000e+01,1.176900000000000119e+02
7.700000000000000000e+01,1.168299999999999983e+02
7.800000000000000000e+01,1.133700000000000045e+02
7.900000000000000000e+01,1.151366666666666845e+02
8.000000000000000000e+01,1.189433333333333138e+02
8.100000000000000000e+01,1.123466666666666640e+02
8.200000000000000000e+01,1.141433333333333451e+02
8.300000000000000000e+01,1.142466666666666697e+02
8.400000000000000000e+01,1.169366666666666816e+02
8.500000000000000000e+01,1.149333333333333229e+02
8.600000000000000000e+01,1.159466666666666725e+02
8.700000000000000000e+01,1.145466666666666669e+02
8.800000000000000000e+01,1.176033333333333530e+02
8.900000000000000000e+01,1.162600000000000193e+02
9.000000000000000000e+01,1.165133333333333496e+02
9.100000000000000000e+01,1.149699999999999989e+02
9.200000000000000000e+01,1.157466666666666413e+02
9.300000000000000000e+01,1.155766666666666680e+02
9.400000000000000000e+01,1.138700000000000045e+02
9.500000000000000000e+01,1.146799999999999926e+02
9.600000000000000000e+01,1.152000000000000028e+02
9.700000000000000000e+01,1.153266666666666680e+02
9.800000000000000000e+01,1.135300000000000011e+02
9.900000000000000000e+01,1.168733333333333064e+02
1.000000000000000000e+02,1.127933333333333366e+02
