#{"t_start": 1748828051.119742, "env_id": "MountainCar-v0"}
r,l,t
-200.0,200,0.007821
-200.0,200,0.013525
-200.0,200,0.019208
-200.0,200,0.024655
-200.0,200,0.030011
-200.0,200,0.10575
-200.0,200,0.175958
-200.0,200,0.24613
-200.0,200,0.316283
-200.0,200,0.386293
-200.0,200,0.45706
-200.0,200,0.527636
-200.0,200,0.597974
-200.0,200,0.669231
-200.0,200,0.739656
-200.0,200,0.810324
-200.0,200,0.881857
-200.0,200,0.952817
-200.0,200,1.023665
-200.0,200,1.093945
-200.0,200,1.16438
-200.0,200,1.235141
-200.0,200,1.306488
-200.0,200,1.377062
-200.0,200,1.447504
-200.0,200,1.518643
-200.0,200,1.589422
-200.0,200,1.660703
-200.0,200,1.731994
-200.0,200,1.80311
-200.0,200,1.87472
-200.0,200,1.945865
-200.0,200,2.017577
-200.0,200,2.088655
-200.0,200,2.161097
-200.0,200,2.23253
-200.0,200,2.303931
-200.0,200,2.375485
-200.0,200,2.446722
-200.0,200,2.51791
-200.0,200,2.58996
-200.0,200,2.661398
-200.0,200,2.732982
-200.0,200,2.804761
-200.0,200,2.876101
-200.0,200,2.947955
-200.0,200,3.019713
-200.0,200,3.091677
-200.0,200,3.163276
-200.0,200,3.235736
-200.0,200,3.308288
-200.0,200,3.381901
-200.0,200,3.454864
-200.0,200,3.529615
-200.0,200,3.604064
-200.0,200,3.683725
-200.0,200,3.757419
-200.0,200,3.831533
-200.0,200,3.904134
-200.0,200,3.976037
-200.0,200,4.048787
-200.0,200,4.121337
-200.0,200,4.193665
-200.0,200,4.265986
-200.0,200,4.33865
-200.0,200,4.411525
-200.0,200,4.48394
-200.0,200,4.556686
-200.0,200,4.629036
-200.0,200,4.701471
-200.0,200,4.774548
-200.0,200,4.847141
-200.0,200,4.91921
-200.0,200,4.992482
-200.0,200,5.065248
-200.0,200,5.138104
-200.0,200,5.211035
-200.0,200,5.285129
-200.0,200,5.358176
-200.0,200,5.43144
-200.0,200,5.504789
-200.0,200,5.5775
-200.0,200,5.650698
-200.0,200,5.724798
-200.0,200,5.802006
-200.0,200,5.890273
-200.0,200,5.981977
-200.0,200,6.063333
-200.0,200,6.14118
-200.0,200,6.22101
-200.0,200,6.315979
-200.0,200,6.403439
-200.0,200,6.477973
-200.0,200,6.55246
-200.0,200,6.626363
-200.0,200,6.700649
-200.0,200,6.774867
-200.0,200,6.848715
-200.0,200,6.922772
-200.0,200,6.996724
-200.0,200,7.070904
-200.0,200,7.145403
-200.0,200,7.219575
-200.0,200,7.296907
-200.0,200,7.371596
-200.0,200,7.44585
-200.0,200,7.520183
-200.0,200,7.595045
-200.0,200,7.669425
-200.0,200,7.743654
-200.0,200,7.818209
-200.0,200,7.893178
-200.0,200,7.968477
-200.0,200,8.043005
-200.0,200,8.117974
-200.0,200,8.193387
-200.0,200,8.268176
-200.0,200,8.342688
-200.0,200,8.417631
-200.0,200,8.492783
-200.0,200,8.569335
-200.0,200,8.644214
